Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Sugar_From_Other,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield
France,1972,FRA,Europe,Western Europe,261730647.1964963,8692.631695770477,12.827740613127013,3357412.8527425136,68.42296334439587,38.600384033364115,42.970759713562536,-49.99410709132252,171.9661817313026,35.148009279968015,11.495110716525867,34.09401744381169,5401669.795652303,2358929.2710425546,3.864019768266975,0.0,0,0.0,34.503397717429316,3,52.43397166806272
Australia,2003,AUS,Oceania,Australia & New Zealand,173796468.34580186,6859.195959653106,21.362631896976296,3712749.9782658583,55.43256397632052,38.46362033499821,16.223681465796925,-10.119865777115663,229.23802162275166,58.533611397715056,6.517478599081394,16.040118199295122,3418789.556300592,9694348.044122908,3.2821006736209855,0.0,0,0.0,31.783066841386123,4,58.382054669102246
Germany,1963,DEU,Europe,Western Europe,123636586.34430765,22075.950575281146,32.0774848972354,3965950.731205269,86.46612026687532,10.001415833464229,51.72063122518504,-48.188167325524574,203.2632520842974,87.892308618425,8.25268806637873,14.405740934261756,8987281.13311679,5451632.228378868,1.0976868992668534,0.0,0,0.0,51.55134462117129,1,32.184734702656556
France,1965,FRA,Europe,Western Europe,298996149.605572,3728.0273918757043,47.64892956166691,14246846.471765522,69.80670676777729,34.00517305093511,43.573774077083954,-47.38565389579634,34.17728337187924,130.55806699896735,10.997905158031607,38.49927088267543,5179004.207147579,8048500.024167951,2.7612974437572193,0.0,0,0.0,80.38628077339419,2,84.29601871898039
Germany,2010,DEU,Europe,Western Europe,7341531.438715228,40420.97396211827,23.214342819672883,170428.82763974156,63.77227768195504,23.105924022420897,53.54359519794356,-40.4217969023195,78.73348153444421,63.6072993259037,14.89387946257259,36.190977272677316,6463438.820762586,7062910.412238244,4.219430675047581,0.0,0,1.0,49.70115258819166,3,66.11081524070221
South Africa,1997,ZAF,Africa,Sub-Saharan Africa,91997984.17697288,45446.25690606431,66.79949829703867,6145419.18736069,53.897308896240766,29.017004229382792,59.07553783115725,-41.9898509567808,209.462631844879,183.03062533388595,14.891224555018177,14.447757002786497,2178783.363989428,8683157.88899315,1.169493976441065,0.0,0,0.0,77.15051455157482,1,98.63537945121277
India,1965,IND,Asia,South Asia,84323272.64145313,12795.51187051468,19.31411487366899,1628629.3743207355,68.33073188303159,32.16264494422087,20.46089911464666,-20.954275941899127,163.21133680864006,52.92067475385304,11.98603622927468,10.97573042219161,2667298.7857485674,8357259.586570145,0.5608223709949361,0.0,0,0.0,81.81766310611425,4,30.241631904922368
Mexico,1970,MEX,North America,Central America,107504875.81931798,24532.73296070667,55.628947847390116,5980383.130292991,80.78691076242474,9.358697823633307,30.243786521102088,-20.38939510716014,18.946791612658338,152.42331710184894,8.87871793596176,19.810905086655563,9314142.64703797,600849.9998855998,1.0965792975468927,0.0,0,0.0,83.70253687178743,5,54.96245124533087
Mexico,1986,MEX,North America,Central America,69948126.6063923,26193.621687630166,28.698922827694773,2007435.887418676,78.68737373752325,32.9640373154151,24.2265709144968,-35.87798196743515,224.1226392358678,78.63504854788368,12.965214880101994,22.689658111336506,531519.086854596,2956299.228348586,1.3323536123512254,0.0,1,0.0,45.862355546406015,5,69.93221263765659
Russia,2013,RUS,Europe,Eastern Europe,80014587.79400532,49257.560214668345,59.171056996018336,4734547.734872002,69.86350601238405,15.597795928580139,4.655655184603651,9.883042874432164,33.03497423748587,162.12869616909026,5.698874378836113,10.891454341055862,3410436.531135503,5576824.318296787,3.3447551672479268,0.0,0,1.0,63.19252890299458,4,37.73348120120363
Mexico,2005,MEX,North America,Central America,78045455.86528085,3748.1691301355645,65.00187127277025,5073100.675579657,78.78141384104629,30.632940816804858,24.298190759694137,-33.7125454175453,63.600240705433556,178.10512728739047,13.99415287537982,5.85777480421973,4956976.38752261,8327869.93711572,2.0179995205886723,0.0,1,0.0,24.333161659863983,3,49.81701058724359
